date,state,n_holdings,n_after_stop,n_stop_losses,period_return,turnover,turnover_cost,holdings
2019-10-31,unknown,20,11,9,-1.4732,1.0,0.0015,"000756,000878,000623,000429,000858,000688,000837,000520,000521,000592,000009"
2019-11-29,unknown,20,15,5,5.1453,1.4091,0.002114,"000552,000528,000725,000061,000768,000822,000553,000636,000503,000012,000825,000757,000407,000692,000559"
2019-12-31,unknown,20,16,4,0.7791,1.1667,0.00175,"000852,000703,000797,000521,000517,000655,000791,000850,000875,000790,000505,000661,000626,000590,000721,000858"
2020-02-28,unknown,20,10,10,-3.5822,1.0625,0.001594,"000710,000688,000636,000661,000034,000672,000739,000401,000021,000725"
2020-03-31,unknown,20,14,6,4.8981,0.8,0.0012,"000877,000672,000021,000876,000581,000401,000547,000688,000789,000555,000661,000733,000158,000739"
2020-04-30,unknown,20,13,7,0.1466,0.7857,0.001179,"000796,000672,000528,000526,000800,000596,000710,000425,000789,000877,000581,000858,000721"
2020-05-29,unknown,20,18,2,5.2753,0.8846,0.001327,"000722,000829,000417,000631,000333,000710,000801,000301,000877,000061,000546,000090,000688,000526,000672,000532,000596,000797"
2020-06-30,unknown,20,19,1,16.0239,0.9444,0.001417,"000810,000739,000682,000529,000596,000636,000037,000543,000537,000026,000100,000156,000513,000561,000007,000631,000538,000158,000055"
2020-07-31,unknown,20,16,4,2.0433,0.9211,0.001382,"000571,000596,000727,000803,000636,000333,000061,000090,000680,000600,000548,000066,000858,000837,000532,000779"
2020-08-31,unknown,20,8,12,-7.8504,0.875,0.001313,"000596,000739,000672,000007,000532,000539,000559,000061"
2020-09-30,unknown,20,18,2,1.5767,1.625,0.002437,"000547,000039,000803,000733,000528,000505,000034,000002,000333,000589,000692,000516,000725,000596,000727,000701,000630,000690"
2020-10-30,unknown,20,18,2,11.2625,0.6111,0.000917,"000625,000516,000737,000012,000559,000568,000727,000001,000799,000701,000762,000803,000837,000333,000547,000776,000733,000786"
2020-11-30,unknown,20,9,11,4.8359,0.8889,0.001333,"000001,000528,000536,000737,000532,000516,000509,000009,000636"
2020-12-31,unknown,20,16,4,-1.1912,1.2778,0.001917,"000626,000799,000801,000733,000516,000333,000625,000636,000547,000505,000012,000568,000001,000708,000596,000727"
2021-01-29,bull,20,15,5,-2.4532,0.625,0.000937,"000786,000708,000762,000001,000538,000799,000516,000589,000703,000596,000626,000049,000301,000333,000636"
2021-02-26,bull,20,16,4,8.6976,0.7667,0.00115,"000723,000591,000727,000725,000550,000027,000663,000100,000633,000703,000626,000612,000049,000786,000589,000762"
2021-03-31,range,20,15,5,2.7918,0.6875,0.001031,"000629,000663,000626,000100,000633,000572,000550,000009,000877,000591,000516,000683,000659,000751,000862"
2021-04-30,range,20,14,6,6.3156,0.9,0.00135,"000420,000009,000572,000408,000012,000633,000739,000799,000807,000812,000725,000039,000707,000830"
2021-05-31,bull,20,15,5,5.7872,0.8571,0.001286,"000683,000799,000410,000822,000818,000408,000663,000420,000009,000626,000596,000027,000516,000012,000568"
2021-06-30,bull,20,13,7,3.8471,0.8333,0.00125,"000039,000155,000625,000663,000803,000009,000592,000799,000408,000045,000159,000762,000012"
2021-07-30,range,20,14,6,28.8594,0.9615,0.001442,"000683,000159,000155,000677,000731,000408,000762,000519,000807,000510,000822,000751,000629,000586"
2021-08-31,bear,20,15,5,-6.3573,0.7143,0.001071,"000155,000557,000009,000803,000762,000707,000159,000408,000039,000829,000731,000733,000739,000519,000677"
2021-09-30,bear,20,15,5,-1.2314,0.8333,0.00125,"000695,000739,000567,000733,000155,000799,000572,000519,000655,000420,000409,000592,000819,000723,000707"
2021-10-29,range,20,15,5,5.3734,0.9667,0.00145,"000829,000564,000803,000567,000537,000036,000519,000061,000629,000591,000738,000539,000415,000679,000568"
2021-11-30,bear,20,17,3,0.9243,0.7,0.00105,"000409,000755,000567,000546,000738,000561,000568,000537,000036,000816,000596,000633,000803,000723,000768,000739,000818"
2021-12-31,range,20,11,9,-5.2678,1.0294,0.001544,"000726,000677,000819,000520,000429,000408,000803,000539,000039,000778,000524"
2022-02-28,bear,20,15,5,-2.8653,1.3182,0.001977,"000546,000629,000810,000408,000672,000789,000731,000510,000807,000692,000683,000737,000719,000630,000680"
2022-03-31,bear,20,8,12,-13.7446,0.7667,0.00115,"000546,000552,000683,000810,000715,000509,000862,000630"
2022-04-29,bear,20,16,4,20.8145,1.625,0.002437,"000756,000525,000665,000519,000007,000429,000683,000707,000753,000628,000596,000524,000720,000722,000422,000516"
2022-05-31,bear,20,18,2,4.1783,0.5625,0.000844,"000810,000707,000596,000519,000498,000830,000525,000756,000078,000552,000722,000733,000657,000665,000628,000682,000429,000726"
2022-06-30,range,20,13,7,-2.9099,0.8333,0.00125,"000631,000596,000525,000568,000707,000822,000516,000546,000042,000423,000876,000061,000519"
2022-07-29,bear,20,14,6,-0.4273,1.1154,0.001673,"000657,000525,000576,000810,000839,000159,000819,000546,000721,000663,000816,000688,000731,000726"
2022-08-31,bear,20,14,6,-9.2998,0.6429,0.000964,"000159,000525,000839,000663,000410,000633,000812,000695,000810,000688,000596,000543,000619,000546"
2022-09-30,bear,20,13,7,-2.5256,0.6429,0.000964,"000596,000633,000159,000695,000880,000726,000525,000571,000543,000055,000007,000798,000410"
2022-10-31,bear,20,17,3,7.8646,1.0385,0.001558,"000733,000695,000513,000600,000756,000593,000557,000410,000633,000521,000035,000570,000716,000682,000766,000019,000739"
2022-11-30,range,20,10,10,-0.6814,0.8529,0.001279,"000159,000599,000726,000019,000419,000802,000682,000798,000633,000695"
2022-12-30,range,20,14,6,-2.1394,1.4,0.0021,"000690,000715,000419,000516,000721,000657,000603,000868,000600,000596,000678,000729,000869,000719"
2023-01-31,range,20,16,4,3.5621,1.0714,0.001607,"000703,000060,000651,000517,000423,000725,000565,000525,000063,000555,000729,000661,000807,000786,000048,000510"
2023-02-28,range,20,12,8,-0.202,1.0625,0.001594,"000739,000517,000513,000524,000099,000607,000779,000652,000028,000801,000777,000596"
2023-03-31,range,20,15,5,1.7925,1.1667,0.00175,"000521,000607,000818,000636,000568,000802,000423,000513,000721,000555,000633,000729,000811,000807,000539"
2023-04-28,range,20,12,8,-2.9234,0.9667,0.00145,"000782,000521,000567,000600,000596,000715,000829,000603,000555,000425,000633,000837"
2023-05-31,bear,20,15,5,6.2749,1.1667,0.00175,"000681,000020,000852,000782,000682,000790,000761,000880,000530,000543,000571,000837,000099,000060,000802"
2023-06-30,bear,20,15,5,0.1308,1.1,0.00165,"000063,000333,000586,000157,000021,000809,000599,000862,000589,000045,000541,000539,000528,000543,000598"
2023-07-31,range,20,11,9,-4.9365,1.0333,0.00155,"000869,000856,000737,000751,000651,000026,000524,000586,000705,000727,000589"
2023-08-31,bear,20,15,5,-1.7432,1.1364,0.001705,"000856,000589,000596,000568,000786,000727,000777,000603,000807,000650,000811,000721,000061,000716,000778"
2023-10-31,bear,20,17,3,4.5551,1.1667,0.00175,"000676,000700,000035,000782,000655,000625,000818,000599,000753,000153,000050,000058,000536,000338,000509,000429,000403"
2023-11-30,bear,20,16,4,-0.6476,1.0294,0.001544,"000423,000509,000088,000543,000531,000009,000791,000419,000802,000766,000678,000598,000548,000564,000702,000679"
2023-12-29,bear,20,12,8,-8.5649,0.6875,0.001031,"000655,000009,000564,000571,000777,000766,000509,000408,000423,000403,000550,000543"
2024-01-31,bear,20,13,7,7.3616,0.9167,0.001375,"000550,000429,000333,000543,000564,000096,000521,000338,000408,000598,000157,000423,000528"
2024-02-29,range,20,19,1,7.9546,0.5769,0.000865,"000550,000333,000564,000100,000338,000408,000400,000725,000685,000651,000528,000521,000543,000680,000027,000513,000166,000801,000157"
2024-03-29,range,20,16,4,4.8974,0.6053,0.000908,"000100,000564,000550,000786,000099,000528,000596,000766,000027,000725,000651,000536,000807,000600,000333,000630"
2024-04-30,range,20,13,7,-4.8891,0.75,0.001125,"000596,000564,000521,000099,000703,000683,000680,000708,000725,000600,000409,000795,000786"
2024-05-31,bear,20,11,9,-3.4043,1.1923,0.001788,"000537,000039,000400,000801,000600,000429,000768,000598,000543,000792,000807"
2024-06-28,bear,20,14,6,-3.1926,1.0455,0.001568,"000543,000415,000680,000683,000425,000766,000528,000532,000429,000598,000829,000768,000063,000519"
2024-07-31,bear,20,12,8,-4.6896,0.7857,0.001179,"000768,000400,000543,000598,000692,000429,000006,000731,000539,000571,000788,000029"
2024-08-30,bear,20,7,13,24.1399,1.3333,0.002,"000636,000829,000651,000560,000428,000521,000719"
2024-09-30,range,20,11,9,12.0449,1.6429,0.002464,"000564,000007,000560,000408,000707,000829,000034,000819,000677,000026,000036"
2024-10-31,bull,20,11,9,1.1506,1.3182,0.001977,"000536,000159,000421,000880,000156,000524,000560,000628,000702,000548,000858"
2024-11-29,bull,20,10,10,-1.8504,1.3182,0.001977,"000810,000561,000680,000678,000755,000848,000597,000524,000099,000557"
2024-12-31,range,20,10,10,-5.1415,1.4,0.0021,"000333,000429,000852,000685,000758,000776,000034,000810,000063,000795"
