date,state,n_holdings,n_after_stop,n_stop_losses,period_return,turnover,turnover_cost,holdings
2025-02-28,range,20,14,6,-2.4412,1.3,0.00195,"000880,000425,000612,000795,000779,000429,000533,000801,000679,000713,000676,000571,000555,000536"
2025-03-31,range,20,9,11,0.4103,1.0,0.0015,"000819,000096,000755,000333,000600,000429,000795,000678,000766"
2025-04-30,range,20,15,5,-0.0352,1.1667,0.00175,"000408,000571,000429,000096,000880,000506,000059,000719,000425,000755,000678,000419,000782,000538,000519"
2025-05-30,range,20,13,7,3.8726,1.0333,0.00155,"000655,000011,000333,000001,000701,000803,000059,000547,000676,000719,000524,000670,000554"
2025-06-30,range,20,15,5,5.3724,1.1154,0.001673,"000670,000612,000559,000655,000630,000050,000156,000548,000692,000042,000555,000586,000833,000813,000823"
2025-07-31,range,20,18,2,8.2799,0.9667,0.00145,"000417,000066,000586,000816,000014,000034,000822,000713,000576,000670,000753,000561,000738,000612,000547,000519,000852,000768"
2025-08-29,range,20,16,4,3.774,0.9444,0.001417,"000426,000833,000792,000796,000599,000670,000816,000778,000735,000510,000810,000042,000862,000555,000676,000603"
2025-09-30,range,20,18,2,3.6891,0.875,0.001313,"000426,000014,000792,000823,000021,000555,000157,000425,000762,000617,000753,000029,000803,000807,000407,000811,000034,000796"
2025-10-31,range,20,14,6,4.3853,0.6667,0.001,"000333,000796,000811,000766,000807,000683,000426,000863,000830,000573,000762,000792,000408,000778"
2025-11-28,range,20,16,4,6.3305,0.6429,0.000964,"000596,000333,000863,000426,000603,000419,000408,000555,000807,000796,000762,000816,000672,000792,000554,000708"
2025-12-31,range,20,18,2,16.1965,0.75,0.001125,"000612,000672,000703,000510,000830,000708,000807,000593,000878,000408,000792,000680,000683,000725,000426,000811,000630,000157"
2026-01-30,range,20,15,5,4.1302,0.8889,0.001333,"000539,000603,000426,000863,000506,000089,000338,000510,000767,000400,000672,000688,000803,000731,000524"
2026-02-27,range,20,11,9,-8.4253,0.9,0.00135,"000612,000510,000065,000708,000600,000792,000400,000555,000539,000407,000559"
2026-03-31,range,20,16,4,15.2283,1.2273,0.001841,"000070,000729,000428,000657,000510,000703,000688,000803,000159,000533,000593,000762,000792,000811,000586,000833"
2026-04-30,range,20,20,0,0.0,0.6875,0.001031,"000333,000582,000811,000338,000833,000688,000652,000007,000810,000792,000408,000155,000790,000593,000533,000762,000829,000420,000006,000766"
