date,state,n_holdings,n_after_stop,n_stop_losses,period_return,turnover,turnover_cost,holdings
2019-10-31,unknown,10,9,1,0.6947,1.0,0.0015,"000009,000007,000012,000002,000014,000011,000006,000017,000008"
2019-11-29,unknown,9,9,0,9.7311,0.0,0.0,"000012,000011,000017,000006,000009,000002,000007,000014,000008"
2019-12-31,unknown,10,8,2,-4.7953,0.0556,8.3e-05,"000006,000002,000008,000014,000007,000011,000012,000009"
2020-02-28,unknown,8,2,6,-14.7093,0.0,0.0,"000009,000012"
2020-03-31,unknown,2,2,0,6.6904,0.0,0.0,"000009,000012"
2020-04-30,unknown,10,4,6,-0.234,2.0,0.003,"000012,000009,000007,000014"
2020-05-29,unknown,4,4,0,16.585,0.0,0.0,"000012,000009,000007,000014"
2020-06-30,unknown,10,10,0,15.4939,0.75,0.001125,"000007,000012,000009,000014,000011,000002,000008,000017,000006,000001"
2020-07-31,unknown,10,9,1,-5.4814,0.0,0.0,"000011,000009,000014,000002,000008,000007,000001,000012,000017"
2020-08-31,unknown,9,9,0,-3.6818,0.0,0.0,"000007,000011,000014,000001,000009,000017,000012,000002,000008"
2020-09-30,unknown,10,7,3,-1.2846,0.0556,8.3e-05,"000002,000001,000009,000012,000007,000014,000017"
2020-10-30,unknown,7,7,0,6.6364,0.0,0.0,"000012,000001,000009,000007,000017,000002,000014"
2020-11-30,unknown,10,6,4,-4.6264,0.2143,0.000321,"000001,000009,000002,000012,000017,000014"
2020-12-31,unknown,6,4,2,-2.7764,0.0,0.0,"000012,000001,000002,000009"
2021-01-29,bull,8,7,1,16.3957,0.5,0.00075,"000001,000012,000009,000002,000011,000006,000007"
2021-02-26,bull,9,9,0,2.817,0.1429,0.000214,"000009,000001,000012,000017,000011,000002,000006,000014,000007"
2021-03-31,range,10,10,0,2.8826,0.0556,8.3e-05,"000009,000017,000012,000001,000002,000014,000011,000006,000008,000007"
2021-04-30,range,10,10,0,3.3402,0.0,0.0,"000009,000012,000017,000001,000007,000014,000008,000002,000011,000006"
