date,state,n_holdings,n_after_stop,n_stop_losses,period_return,turnover,turnover_cost,holdings
2021-05-31,bull,10,9,1,6.8414,0.0,0.0,"000009,000012,000001,000017,000014,000007,000011,000008,000006"
2021-06-30,bull,9,6,3,-1.6036,0.0,0.0,"000009,000012,000001,000017,000007,000011"
2021-07-30,range,7,6,1,6.629,0.0833,0.000125,"000009,000017,000012,000011,000007,000001"
2021-08-31,bear,9,9,0,-5.3704,0.25,0.000375,"000009,000011,000017,000012,000007,000006,000014,000008,000001"
2021-09-30,bear,10,8,2,-0.9672,0.0556,8.3e-05,"000009,000017,000012,000008,000007,000001,000011,000014"
2021-10-29,range,8,7,1,2.6873,0.0,0.0,"000001,000009,000017,000014,000012,000011,000007"
2021-11-30,bear,9,9,0,1.9762,0.1429,0.000214,"000007,000014,000017,000012,000006,000009,000011,000001,000002"
2021-12-31,range,10,9,1,-3.9412,0.0556,8.3e-05,"000007,000012,000017,000006,000009,000011,000002,000014,000001"
2022-02-28,bear,9,7,2,1.3491,0.0,0.0,"000007,000014,000009,000006,000012,000001,000017"
2022-03-31,bear,8,7,1,-10.2566,0.0714,0.000107,"000001,000007,000014,000012,000009,000017,000006"
2022-04-29,bear,9,7,2,5.6092,0.1429,0.000214,"000007,000009,000001,000017,000014,000012,000006"
2022-05-31,bear,8,7,1,10.283,0.0714,0.000107,"000007,000009,000017,000001,000012,000014,000006"
2022-06-30,range,8,6,2,-6.5544,0.2143,0.000321,"000006,000014,000001,000012,000009,000017"
2022-07-29,bear,8,6,2,0.7203,0.1667,0.00025,"000017,000014,000006,000009,000007,000012"
2022-08-31,bear,8,7,1,-3.4531,0.1667,0.00025,"000017,000007,000006,000014,000012,000009,000002"
2022-09-30,bear,9,6,3,-1.558,0.1429,0.000214,"000007,000017,000009,000008,000014,000012"
2022-10-31,bear,7,7,0,13.3331,0.0833,0.000125,"000007,000012,000011,000017,000008,000009,000014"
2022-11-30,range,10,9,1,-2.0428,0.2143,0.000321,"000007,000008,000009,000017,000012,000001,000002,000011,000014"
2022-12-30,range,9,9,0,3.8009,0.0,0.0,"000014,000007,000017,000011,000012,000009,000002,000008,000001"
2023-01-31,range,10,8,2,-0.9904,0.0556,8.3e-05,"000014,000001,000011,000012,000008,000017,000009,000007"
2023-02-28,range,8,8,0,-6.7868,0.0,0.0,"000014,000001,000008,000009,000017,000007,000011,000012"
2023-03-31,range,10,8,2,-5.9017,0.125,0.000188,"000007,000017,000014,000009,000011,000012,000008,000002"
2023-04-28,range,8,7,1,-2.9946,0.0,0.0,"000012,000017,000014,000009,000007,000011,000008"
2023-05-31,bear,9,8,1,2.1067,0.1429,0.000214,"000014,000008,000009,000017,000011,000012,000001,000007"
2023-06-30,bear,9,9,0,8.6686,0.0625,9.4e-05,"000012,000014,000008,000017,000009,000011,000001,000007,000002"
2023-07-31,range,10,10,0,-2.8499,0.0556,8.3e-05,"000017,000008,000014,000001,000012,000011,000009,000002,000007,000006"
2023-08-31,bear,10,8,2,-5.3697,0.0,0.0,"000014,000007,000011,000008,000009,000017,000001,000012"
2023-10-31,bear,8,7,1,4.857,0.0,0.0,"000014,000009,000012,000017,000008,000007,000011"
2023-11-30,bear,9,6,3,-3.047,0.1429,0.000214,"000009,000012,000008,000014,000017,000007"
2023-12-29,bear,7,7,0,14.3345,0.0833,0.000125,"000009,000007,000012,000008,000017,000014,000001"
2024-01-31,bear,10,7,3,0.7832,0.2143,0.000321,"000017,000014,000002,000009,000007,000012,000001"
2024-02-29,range,7,6,1,-3.1501,0.0,0.0,"000012,000001,000014,000009,000017,000007"
2024-03-29,range,9,7,2,-4.704,0.25,0.000375,"000017,000014,000001,000011,000009,000007,000012"
2024-04-30,range,8,8,0,2.0056,0.0714,0.000107,"000011,000001,000014,000009,000012,000017,000002,000007"
2024-05-31,bear,10,6,4,-9.9695,0.125,0.000188,"000007,000001,000014,000017,000012,000009"
2024-06-28,bear,6,6,0,-0.3121,0.0,0.0,"000007,000014,000001,000017,000009,000012"
2024-07-31,bear,10,8,2,-2.9816,0.3333,0.0005,"000007,000006,000011,000009,000001,000012,000017,000014"
2024-08-30,bear,8,8,0,29.5644,0.0,0.0,"000012,000001,000017,000014,000009,000006,000007,000011"
2024-09-30,range,10,8,2,11.7686,0.125,0.000188,"000007,000009,000011,000017,000006,000001,000014,000012"
2024-10-31,bull,8,8,0,-1.8937,0.0,0.0,"000006,000017,000007,000001,000011,000012,000014,000009"
2024-11-29,bull,10,9,1,-6.6126,0.125,0.000188,"000007,000017,000001,000006,000011,000008,000012,000009,000014"
2024-12-31,range,9,9,0,-6.302,0.0,0.0,"000001,000014,000008,000007,000006,000017,000012,000009,000011"
2025-02-28,range,10,9,1,0.5906,0.0556,8.3e-05,"000008,000009,000001,000011,000017,000014,000007,000006,000012"
2025-03-31,range,9,9,0,-0.2705,0.0,0.0,"000008,000014,000001,000012,000017,000007,000011,000009,000006"
2025-04-30,range,10,10,0,6.01,0.0556,8.3e-05,"000008,000011,000009,000002,000001,000017,000006,000014,000012,000007"
2025-05-30,range,10,9,1,-0.658,0.0,0.0,"000011,000001,000007,000014,000008,000006,000017,000009,000012"
2025-06-30,range,9,9,0,-0.2705,0.0,0.0,"000001,000014,000009,000006,000017,000007,000008,000012,000011"
2025-07-31,range,10,10,0,7.0179,0.0556,8.3e-05,"000014,000009,000008,000001,000007,000017,000006,000011,000002,000012"
2025-08-29,range,10,10,0,9.2805,0.0,0.0,"000008,000017,000007,000009,000006,000014,000011,000012,000001,000002"
2025-09-30,range,10,10,0,4.3859,0.0,0.0,"000014,000006,000008,000017,000009,000011,000012,000007,000001,000002"
2025-10-31,range,10,9,1,-1.1041,0.0,0.0,"000006,000008,000014,000009,000017,000011,000012,000001,000007"
2025-11-28,range,9,9,0,-3.994,0.0,0.0,"000006,000007,000008,000011,000014,000001,000009,000012,000017"
2025-12-31,range,10,10,0,-1.1254,0.0556,8.3e-05,"000007,000017,000011,000006,000014,000001,000008,000009,000012,000002"
2026-01-30,range,10,10,0,4.1388,0.0,0.0,"000007,000008,000014,000011,000017,000012,000009,000006,000001,000002"
2026-02-27,range,10,9,1,-3.9078,0.0,0.0,"000007,000008,000017,000014,000009,000006,000001,000011,000012"
2026-03-31,range,9,8,1,-0.5247,0.0,0.0,"000007,000017,000014,000001,000006,000011,000009,000008"
2026-04-30,range,9,9,0,0.0,0.0625,9.4e-05,"000007,000006,000014,000008,000002,000001,000009,000017,000011"
