2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [7/30] Sharpe=-0.18 收益=-1.19% 交易=961
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [8/30] Sharpe=-0.62 收益=-9.03% 交易=83
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [9/30] Sharpe=-0.56 收益=-15.68% 交易=1536
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [10/30] Sharpe=-0.47 收益=-6.23% 交易=122
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [11/30] Sharpe=2.70 收益=1602.39% 交易=2845
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [12/30] Sharpe=-0.65 收益=-9.05% 交易=104
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [13/30] Sharpe=-0.95 收益=-9.05% 交易=90
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [14/30] Sharpe=-0.67 收益=-9.78% 交易=115
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [15/30] Sharpe=-1.42 收益=-15.40% 交易=126
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [16/30] Sharpe=-1.04 收益=-17.81% 交易=337
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [17/30] Sharpe=0.06 收益=21.04% 交易=1393
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [18/30] Sharpe=-0.86 收益=-10.81% 交易=103
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [19/30] Sharpe=-0.88 收益=-10.03% 交易=196
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [20/30] Sharpe=-0.52 收益=-6.61% 交易=109
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [21/30] Sharpe=-0.46 收益=-5.15% 交易=141
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [22/30] Sharpe=0.50 收益=21.94% 交易=418
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [23/30] Sharpe=-1.70 收益=-17.91% 交易=353
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [24/30] Sharpe=-1.87 收益=-16.57% 交易=253
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [25/30] Sharpe=-1.85 收益=-13.79% 交易=267
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [26/30] Sharpe=-0.66 收益=-6.64% 交易=76
2026-06-04 18:07:11,976 [INFO] scripts.optimize_target |   [27/30] Sharpe=0.90 收益=125.98% 交易=2370
2026-06-04 18:07:11,976 [INFO] scripts.optimize_target |   [28/30] Sharpe=-2.09 收益=-15.90% 交易=236
2026-06-04 18:07:11,976 [INFO] scripts.optimize_target |   [29/30] Sharpe=0.08 收益=22.39% 交易=1710
2026-06-04 18:07:11,976 [INFO] scripts.optimize_target |   [30/30] Sharpe=-1.35 收益=-16.28% 交易=288
2026-06-04 18:07:12,028 [INFO] scripts.optimize_target | 总交易数: 38830 笔
2026-06-04 18:07:17,965 [INFO] scripts.optimize_target | 纸带已写入: outputs\optimize_target\paper_tape.parquet (38830 笔交易)
2026-06-04 18:07:17,965 [INFO] scripts.optimize_target | 参数组合已写入: outputs\optimize_target\run_params.json
2026-06-04 18:07:17,966 [INFO] scripts.optimize_target | 元数据已写入: outputs\optimize_target\meta.json
2026-06-04 18:07:17,966 [INFO] scripts.optimize_target | 
============================================================
2026-06-04 18:07:17,966 [INFO] scripts.optimize_target | 纸带包含 38830 笔交易
2026-06-04 18:07:17,967 [INFO] scripts.optimize_target | 运行时将实时归因 —— 打字机模式自进化
2026-06-04 18:07:17,967 [INFO] scripts.optimize_target | ============================================================
2026-06-04 18:29:23,926 [INFO] scripts.optimize_target | ============================================================
2026-06-04 18:29:23,926 [INFO] scripts.optimize_target | 打字机初始化采样
2026-06-04 18:29:23,926 [INFO] scripts.optimize_target |   区间: 2019-01-01 ~ 2026-06-04
2026-06-04 18:29:23,926 [INFO] scripts.optimize_target |   参数数: 7
2026-06-04 18:29:23,926 [INFO] scripts.optimize_target |   采样组数: 30
2026-06-04 18:29:23,926 [INFO] scripts.optimize_target |   并行进程: 3
2026-06-04 18:29:23,926 [INFO] scripts.optimize_target | ============================================================
2026-06-04 18:29:23,931 [INFO] scripts.optimize_target | 已生成 30 组随机参数
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [1/30] Sharpe=0.09 收益=3.47% 交易=194
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [2/30] Sharpe=-1.70 收益=-15.51% 交易=221
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [3/30] Sharpe=1.34 收益=1044.30% 交易=2998
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [4/30] Sharpe=-0.57 收益=-5.48% 交易=120
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [5/30] Sharpe=0.45 收益=24.32% 交易=338
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [6/30] Sharpe=0.09 收益=20.30% 交易=1647
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [7/30] Sharpe=-0.51 收益=-10.28% 交易=438
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [8/30] Sharpe=-1.91 收益=-15.60% 交易=103
2026-06-04 19:53:49,691 [INFO] scripts.optimize_target |   [9/30] Sharpe=-0.91 收益=-13.67% 交易=878
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [10/30] Sharpe=-0.93 收益=-14.09% 交易=200
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [11/30] Sharpe=-0.78 收益=-8.18% 交易=124
2026-06-04 19:53:49,692 [INFO] scripts.optimize_target |   [12/30] Sharpe=-1.10 收益=-9.69% 交易=126
