quarter,trend_macd_5dim,momentum_12_1,reversal_20,oversold_60,weekly_deviation,bottom_divergence,volume_reversal,bottom_fractal,low_volatility,turnover_stability,close_position,a158_low_vwap,a158_kl_mid_5,a158_kl_mid,a158_kl_lower,a158_kl_upper,avg_ic,positive_rate,n_months
2020-03-31 00:00:00,0.0728642958333777,0.2159730009639304,0.0921635369131232,0.0071622512829911,-0.0257524577493452,0.0274005037022134,-0.067668527859265,-0.0772659537930094,0.0064579771593905,0.1996578753552076,-0.0086742730690949,0.0562663748936505,0.0275040541667077,0.0149862264963643,0.0325819200196596,0.0224598219623914,0.037257289142393304,0.75,1
2020-04-30 00:00:00,-0.0869073223294846,-0.0181492201979236,0.0391419271179613,0.0441469002840345,0.0279863637202118,-0.0025163671659761,-0.0354470272913483,0.0164368646221618,0.0216894193497608,0.0213460280247841,0.041547393269347,-0.0475544835840633,-0.0200720600397376,-0.0451643388211134,-0.0467182896574327,-0.0391932479516975,-0.008089216290657234,0.4375,1
2020-06-30 00:00:00,-0.0827259391286055,-0.0937886320185163,0.1434221486785999,0.0539378136671382,-0.0908610651561849,0.04465025673939,-0.093481232716713,0.0599825045604014,0.1349602612291826,-0.0132807727804658,-0.0095154360082068,0.1157607286951242,0.0965545526807372,0.0303362639789742,-0.0044553483757815,0.0117374352483751,0.018952096205840558,0.5625,1
2020-07-31 00:00:00,-0.0618542037223192,-0.1383636455803543,0.0942530202330742,-0.0291501597448256,-0.1316387791629568,0.0627395952754785,-0.1327285799424436,0.0100582222582598,0.2410878834782172,0.0615227235033606,-0.0067704964738877,0.1774229500362077,0.1238251134027688,0.0626236115628637,0.0748530652103312,0.0277942046934624,0.027229657814202307,0.625,1
2020-08-31 00:00:00,0.0140715056727685,-0.1990168699662338,-0.0176807166519766,-0.065552355303573,-0.0515422659942049,-0.0338671003638438,0.0255707422237846,-0.0862668292050991,0.1694374808990411,-0.1127228902972771,-0.0979008259240514,0.1056531660043488,0.0359122777986411,0.0649246473794445,-0.0749589902002581,-0.0263569261021619,-0.021893496876915695,0.375,1
2020-09-30 00:00:00,0.1819541496059018,0.0326225156177866,-0.0528118188319038,-0.1006421822402626,0.0444507659988277,-0.0765065838626654,0.0312690186047692,0.0338971248442062,-0.1465019274464582,0.0680452214577142,0.0209737853059662,-0.0761611435910835,-0.0210770990275101,-0.0164836569607686,-0.0050597017332942,0.0402206925922162,-0.0026131774791598953,0.5,1
2020-11-30 00:00:00,0.1389342153175627,0.1432567622411829,-0.1497221156156107,-0.175050497142864,-0.0224036508063797,-0.0153445043493001,0.0794531854322461,0.0259387986577387,-0.0053459971832426,0.0874037979765212,-0.0328472599102418,-0.0373741457924689,0.0178051828350323,0.0470469997692573,0.0127426129828943,-0.0027081962748417,0.006986574258592872,0.5,1
2020-12-31 00:00:00,0.051576040812643,0.1136133857473032,-0.0852138775208398,-0.1591329815897436,0.0553741839438841,0.0086384848771883,-0.0083299658560725,0.0478896647424056,0.1428719629920966,0.2217841953499265,0.111643894483951,0.0253585171263388,-0.074320342615148,-0.0957028553281261,0.0415924150177276,-0.0456751278633039,0.021997974645014427,0.625,1
2021-03-31 00:00:00,-0.1099087486050387,0.114509508709386,0.1573310431383465,0.1562402542601641,-0.011450376141897,0.0161473780785792,-0.1719260497640386,-0.0063980856875905,0.0928189207105764,0.1390029921435945,-0.0280649004187946,0.1143274901666602,0.0026619804293834,0.0529592279267236,0.0708910033811516,0.0202250947550192,0.03808542081763908,0.6875,1
2021-04-30 00:00:00,-0.017949274978894,-0.0282429775684258,0.0259160194454346,0.1227006437501019,-0.0455285056995005,0.0223837338841935,-0.0151428028738369,0.0101772304679798,-0.1117542602575869,-0.0896229612700666,-0.0850751004495518,-0.0401566981043426,0.0526965023621477,0.0934233646310034,-0.0326518033231652,-0.0060781087324802,-0.009056562419811849,0.375,1
2021-05-31 00:00:00,-0.0738309686387558,-0.0307903017074948,0.0131734332869089,0.0443567658744451,0.0806638939498592,-0.0493159174402841,-0.0309403220054257,-0.0065529530366709,0.0412780369612505,0.012392829712511,0.0270998281614784,0.0040389154505002,-0.0707526566486771,-0.0147247273859922,-0.0671134468451942,0.004352472189254,-0.007291569882642969,0.5,1
